ID_PREINSCRIPCION,ID_CURSO_ACADEMICO,ID_CONVOCATORIA,ID_TIPO_ACCESO_PREINS,ID_TIPO_PROCEDIMIENTO,ID_ESTUDIO_PREVIO,ID_UNIVERSIDAD,ID_CUPO_ADJUDICACION,NOTA_ADMISION,ID_PLAN_ESTUDIO,ORDEN_PREFERENCIA,RESOLUCION_SOLICITUD,SN_ADMITIDO,ORDEN_ADJUDICACION,FECHA_PREINSCRIPCION,ID_PERSONA,FECHA_NACIMIENTO,ID_SEXO,SEXO,ID_POBLACION_NACIMIENTO,ID_PAIS_NACIMIENTO,ID_PAIS_NACIONALIDAD,EDAD,FECHA_CARGA,ID_CENTRO,ID_PAIS_UNIVERSIDAD_ORIGEN,RESOLUCION_LLAMAMIENTO,NUM_LLAMAMIENTO,RESOLUCION_FINAL,ID_ESTADO_ADJUDICACION,ID_CURSO_ACADEMICO_NK,ID_RANGO_NOTA_ADMISION,SN_MATRICULADO,SN_PARTICIPA_ADJUDICACION,ID_POBLACION_FAMILIAR,SN_CREDENCIAL_UNED,FLG_CREDENCIAL_UNED,NOTA_ACCESO,ID_FECHA_CARGA,ID_TIPO_CENTRO,ID_CAMPUS,ID_POBLACION_CENTRO,ID_TIPO_ESTUDIO,ID_ESTUDIO,ID_RAMA_CONOCIMIENTO,ID_DETALLE_CUPO_GENERAL,ID_DETALLE_CUPO_GENERAL_NK,ID_PAIS_FAMILIAR,ID_PAIS_FAMILIAR_NK,EDAD_EST,ID_EDAD_EST
100011,20180,5,13,1,6,68,1,10.37,9,3,A,S,5.0,2018-05-16,38,1971-01-13,2,M,386,95,47,54,2021-03-09,2,58,D1,1,Resolución final para la solicitud 100011 del 2018-05-16,5,2018,1,S,N,165,N,0,9.0,20210712,4,6,73,9,45,3,7,DC07,46,MDV,Adulto ...,7
100012,20230,4,2,4,10,91,5,12.41,59,6,P,N,,2023-01-26,44,1964-01-01,2,M,207,26,9,61,2020-06-28,22,48,P2,2,Resolución final para la solicitud 100012 del 2023-01-26,6,2023,1,S,S,103,N,0,10.79,20220508,6,7,147,10,14,15,5,DC05,23,GTM,Menor d...,1
100013,20180,1,14,4,8,94,6,9.56,95,5,P,N,,2018-03-26,24,1987-09-13,1,H,399,10,1,38,2020-02-17,43,7,A1,1,Resolución final para la solicitud 100013 del 2018-03-26,4,2018,1,N,S,432,S,1,11.37,20221108,3,7,141,7,40,13,7,DC07,10,VCT,Joven a...,3
100014,20230,1,12,5,10,1,3,7.98,64,7,D,N,,2023-12-24,27,2005-04-23,2,M,313,46,20,20,2023-01-13,32,70,P1,1,Resolución final para la solicitud 100014 del 2023-12-24,5,2023,1,N,N,446,N,0,13.29,20230531,1,4,203,9,37,6,2,DC02,38,PAK,Adulto,5
100015,20230,5,15,1,4,19,6,11.59,90,4,P,N,,2023-06-30,29,1998-05-30,1,H,447,2,13,27,2020-03-26,34,99,D1,1,Resolución final para la solicitud 100015 del 2023-06-30,3,2023,1,S,S,8,S,1,8.49,20230513,5,8,10,2,36,10,6,DC06,47,PRT,Descono...,10
100016,20190,2,7,3,10,42,3,11.26,30,10,A,S,4.0,2019-12-23,22,1985-07-01,1,H,486,90,58,40,2022-03-11,25,10,A1,1,Resolución final para la solicitud 100016 del 2019-12-23,4,2019,1,S,N,103,S,1,9.82,20201001,6,2,230,7,12,12,5,DC05,41,MOZ,Senior,8
100017,20170,5,9,2,10,27,6,7.97,10,7,A,S,3.0,2017-05-26,96,1964-01-07,2,M,160,50,77,61,2023-10-12,18,85,P1,1,Resolución final para la solicitud 100017 del 2017-05-26,3,2017,1,S,S,240,N,0,9.23,20201102,7,10,494,8,36,14,10,DC10,31,MUS,Joven a...,3
100018,20180,1,4,5,1,73,5,6.32,100,8,D,N,,2018-10-04,71,2005-07-19,1,H,74,71,37,20,2022-04-21,1,57,D2,2,Resolución final para la solicitud 100018 del 2018-10-04,2,2018,1,S,N,128,N,0,7.72,20211009,7,4,158,4,22,15,6,DC06,97,GAB,Joven,2
100019,20150,2,9,3,4,2,3,7.59,32,6,A,S,2.0,2015-02-22,38,1989-08-05,2,M,136,21,21,36,2022-10-01,42,6,P2,2,Resolución final para la solicitud 100019 del 2015-02-22,7,2015,1,N,N,386,S,1,5.38,20230102,7,2,185,3,20,5,7,DC07,30,HND,Descono...,10
100020,20200,2,6,5,5,44,5,8.01,25,8,D,N,,2020-01-13,86,1988-12-14,1,H,46,45,59,37,2020-06-05,35,90,A2,2,Resolución final para la solicitud 100020 del 2020-01-13,7,2020,1,N,N,152,S,1,12.7,20200807,5,4,310,6,41,14,3,DC03,87,MWI,Descono...,10
100021,20120,1,6,3,9,66,1,8.29,62,3,P,N,,2012-07-19,29,1962-03-10,1,H,287,10,96,63,2022-12-29,11,45,P2,2,Resolución final para la solicitud 100021 del 2012-07-19,1,2012,1,S,N,160,N,0,10.02,20211110,1,2,153,9,32,9,8,DC08,93,CHL,Menor d...,1
100022,20180,4,8,3,6,37,2,5.82,89,6,P,N,,2018-06-28,21,1959-08-18,1,H,384,82,81,66,2020-12-19,35,88,A2,2,Resolución final para la solicitud 100022 del 2018-06-28,2,2018,1,N,S,95,N,0,6.43,20211204,5,4,483,3,37,5,8,DC08,3,ISL,No consta,9
100023,20120,2,8,3,2,89,1,9.46,14,3,P,N,,2012-11-28,87,1959-12-22,1,H,56,26,57,66,2021-11-11,12,34,A2,2,Resolución final para la solicitud 100023 del 2012-11-28,1,2012,1,S,S,206,S,1,12.86,20210704,8,7,243,10,16,6,2,DC02,86,BHR,Descono...,10
100024,20130,5,10,5,4,83,3,8.42,57,1,P,N,,2013-03-14,88,2002-04-17,1,H,2,63,84,23,2022-01-11,22,100,A2,2,Resolución final para la solicitud 100024 del 2013-03-14,5,2013,1,N,N,65,S,1,6.14,20230213,6,7,329,4,18,8,5,DC05,70,BRN,Menor d...,1
100025,20210,3,3,2,1,34,3,13.14,84,2,A,S,3.0,2021-10-28,87,1979-10-21,1,H,293,62,13,46,2020-09-08,7,5,D1,1,Resolución final para la solicitud 100025 del 2021-10-28,6,2021,1,N,S,224,S,1,8.61,20200806,1,10,107,3,17,5,7,DC07,75,PRY,Descono...,10
100026,20110,5,8,3,3,55,5,9.69,15,2,A,S,1.0,2011-09-11,35,1963-05-01,1,H,107,84,55,62,2021-04-18,5,51,A1,1,Resolución final para la solicitud 100026 del 2011-09-11,7,2011,1,N,S,416,S,1,10.11,20220501,5,1,130,8,6,11,3,DC03,3,ISL,Adulto ...,4
100027,20130,3,8,5,3,14,5,5.3,29,8,A,S,3.0,2013-09-30,6,2007-02-23,1,H,400,62,11,18,2021-01-11,46,66,P2,2,Resolución final para la solicitud 100027 del 2013-09-30,2,2013,1,S,N,324,S,1,13.43,20200306,5,5,58,9,48,11,8,DC08,41,MOZ,Adulto ...,7
100028,20100,4,11,2,6,46,5,11.8,98,5,P,N,,2010-07-12,26,1995-10-03,1,H,83,65,77,30,2023-01-11,5,86,A2,2,Resolución final para la solicitud 100028 del 2010-07-12,7,2010,1,N,N,263,S,1,7.69,20231210,5,1,419,7,2,3,2,DC02,15,CAN,Adulto ...,7
100029,20190,1,4,1,2,71,4,8.3,78,5,D,N,,2019-06-22,2,1972-03-25,1,H,472,44,93,53,2023-06-15,4,83,D1,1,Resolución final para la solicitud 100029 del 2019-06-22,5,2019,1,S,S,198,S,1,12.92,20200315,3,6,222,2,42,7,7,DC07,8,HTI,No consta,9
100030,20190,5,6,4,6,71,3,7.07,32,3,A,S,3.0,2019-06-28,13,1998-02-14,2,M,251,33,46,27,2022-04-02,31,68,P1,1,Resolución final para la solicitud 100030 del 2019-06-28,7,2019,1,S,N,166,N,0,13.29,20230924,1,4,429,8,40,13,3,DC03,11,GIN,Adulto,5
100031,20120,1,7,4,9,41,3,12.8,98,10,D,N,,2012-05-20,43,1972-06-28,2,M,243,79,15,53,2023-03-19,29,58,A1,1,Resolución final para la solicitud 100031 del 2012-05-20,7,2012,1,S,S,284,N,0,5.08,20220126,3,3,460,1,27,6,9,DC09,50,NZL,Adulto ...,4
100032,20220,1,7,3,6,77,5,6.72,30,10,D,N,,2022-01-11,55,1988-12-03,2,M,321,61,77,37,2021-11-12,6,68,P1,1,Resolución final para la solicitud 100032 del 2022-01-11,5,2022,1,N,N,272,S,1,8.13,20231013,8,3,467,8,34,11,2,DC02,66,CAF,Joven a...,3
100033,20150,5,2,3,8,75,6,11.22,14,1,A,S,5.0,2015-10-30,88,2005-08-14,1,H,175,6,75,20,2020-08-11,10,15,A1,1,Resolución final para la solicitud 100033 del 2015-10-30,2,2015,1,S,N,112,S,1,7.43,20200404,4,5,263,2,24,6,8,DC08,47,PRT,No consta,9
100034,20190,2,10,2,7,21,3,10.0,39,9,A,S,5.0,2019-08-15,72,1986-05-07,2,M,104,57,27,39,2023-10-26,3,23,A2,2,Resolución final para la solicitud 100034 del 2019-08-15,6,2019,1,S,N,426,N,0,11.51,20231112,2,6,128,1,19,12,10,DC10,50,NZL,Menor d...,1
100035,20160,3,5,5,7,96,2,9.95,17,2,D,N,,2016-10-12,8,2005-09-10,2,M,386,67,6,20,2021-12-11,45,2,D1,1,Resolución final para la solicitud 100035 del 2016-10-12,6,2016,1,N,S,311,N,0,10.39,20230827,6,2,173,4,25,15,7,DC07,2,COG,Adulto,5
100036,20160,2,10,5,4,14,5,7.7,32,2,P,N,,2016-10-28,60,1987-02-19,2,M,317,62,64,38,2020-02-25,48,57,D1,1,Resolución final para la solicitud 100036 del 2016-10-28,2,2016,1,S,S,124,S,1,6.68,20220504,6,8,320,9,4,7,9,DC09,89,KEN,Menor d...,1
100037,20160,5,5,3,10,64,3,7.63,15,1,A,S,1.0,2016-05-05,83,1985-09-08,2,M,203,48,66,40,2021-07-28,20,45,D1,1,Resolución final para la solicitud 100037 del 2016-05-05,3,2016,1,S,S,187,S,1,10.26,20220512,1,9,55,9,7,8,4,DC04,37,SLB,Adulto ...,4
100038,20180,2,3,5,1,24,5,9.15,60,9,D,N,,2018-06-25,81,1986-05-24,2,M,132,57,31,39,2022-08-29,44,98,P1,1,Resolución final para la solicitud 100038 del 2018-06-25,2,2018,1,N,S,63,N,0,7.75,20210709,6,5,55,4,21,11,10,DC10,57,MLI,Joven,2
100039,20110,1,7,3,8,69,5,9.88,9,9,P,N,,2011-01-20,52,1968-07-09,2,M,426,37,91,57,2020-04-09,4,25,P1,1,Resolución final para la solicitud 100039 del 2011-01-20,3,2011,1,S,N,379,N,0,11.64,20210904,3,6,251,7,13,14,1,DC01,31,MUS,Descono...,10
100040,20110,3,12,5,10,80,5,9.53,65,4,A,S,1.0,2011-12-10,84,1986-02-07,1,H,35,32,28,39,2021-07-26,31,99,A1,1,Resolución final para la solicitud 100040 del 2011-12-10,1,2011,1,N,S,169,N,0,11.67,20200619,1,4,309,7,18,3,9,DC09,49,BIH,No consta,9
100041,20180,1,11,2,6,94,6,11.27,87,9,D,N,,2018-06-03,63,1961-08-06,1,H,403,93,16,64,2022-12-06,28,65,D1,1,Resolución final para la solicitud 100041 del 2018-06-03,2,2018,1,S,N,302,S,1,5.34,20220711,8,8,88,2,5,10,8,DC08,32,THA,Joven,2
100042,20130,5,6,5,5,98,4,10.59,91,6,A,S,2.0,2013-03-25,60,1993-12-30,2,M,177,28,42,32,2023-06-01,9,45,D1,1,Resolución final para la solicitud 100042 del 2013-03-25,7,2013,1,N,N,436,N,0,5.38,20220909,7,3,23,7,44,8,10,DC10,66,CAF,No consta,9
100043,20220,5,14,5,8,51,5,11.44,6,8,A,S,2.0,2022-05-18,57,2001-04-02,1,H,144,85,67,24,2022-11-06,20,79,A1,1,Resolución final para la solicitud 100043 del 2022-05-18,2,2022,1,S,N,402,S,1,11.43,20220916,1,9,172,1,12,3,5,DC05,7,AUT,Joven a...,3
100044,20170,5,6,5,3,68,6,13.52,88,2,D,N,,2017-12-02,94,1982-06-03,2,M,131,11,56,43,2020-05-24,25,75,P2,2,Resolución final para la solicitud 100044 del 2017-12-02,5,2017,1,N,S,478,S,1,12.65,20230724,6,2,295,8,28,13,2,DC02,51,AND,No consta,9
100045,20220,3,11,2,6,81,2,8.3,36,2,D,N,,2022-07-20,55,2006-08-27,2,M,266,9,79,19,2023-07-17,2,13,A2,2,Resolución final para la solicitud 100045 del 2022-07-20,3,2022,1,S,N,289,N,0,8.22,20230522,4,6,70,8,5,10,6,DC06,81,EGY,Senior,8
100046,20230,4,7,4,5,89,1,11.42,57,6,P,N,,2023-11-12,7,1981-11-25,2,M,176,69,91,44,2021-11-21,9,48,D2,2,Resolución final para la solicitud 100046 del 2023-11-12,1,2023,1,S,S,402,S,1,6.41,20220818,7,3,399,3,14,12,3,DC03,58,BGR,Joven a...,3
100047,20150,1,11,3,9,51,5,11.23,38,2,D,N,,2015-08-30,7,1996-11-02,2,M,13,38,17,29,2020-06-19,49,90,D2,2,Resolución final para la solicitud 100047 del 2015-08-30,5,2015,1,N,N,312,N,0,13.16,20220917,6,1,405,8,35,14,6,DC06,14,DEU,Adulto ...,7
100048,20220,2,1,1,7,16,6,6.98,64,9,D,N,,2022-04-25,59,1993-11-15,1,H,189,12,85,32,2023-02-10,35,83,A2,2,Resolución final para la solicitud 100048 del 2022-04-25,6,2022,1,S,S,449,N,0,6.82,20210601,5,4,435,5,40,5,5,DC05,62,DMA,Menor d...,1
100049,20110,2,15,1,4,36,5,7.61,37,5,A,S,1.0,2011-01-13,62,2007-04-07,2,M,464,28,42,18,2021-07-04,12,19,D1,1,Resolución final para la solicitud 100049 del 2011-01-13,2,2011,1,S,N,312,N,0,10.3,20221221,8,7,423,5,32,13,10,DC10,39,HUN,Joven,2
100050,20110,5,3,4,7,30,4,6.23,81,2,D,N,,2011-07-01,91,1972-12-31,2,M,389,82,79,53,2020-01-16,33,81,A2,2,Resolución final para la solicitud 100050 del 2011-07-01,4,2011,1,S,N,163,S,1,11.55,20200503,7,5,15,9,12,13,3,DC03,79,NAM,Adulto,5
100051,20160,2,14,5,9,54,6,7.27,76,4,D,N,,2016-05-19,84,2002-02-24,1,H,295,66,51,23,2020-02-26,45,44,P2,2,Resolución final para la solicitud 100051 del 2016-05-19,6,2016,1,N,S,176,N,0,12.49,20200212,6,2,45,5,33,8,6,DC06,49,BIH,Joven,2
100052,20120,3,9,5,8,38,5,7.2,80,9,A,S,3.0,2012-02-13,52,1991-08-24,2,M,320,68,27,34,2021-08-22,32,48,A2,2,Resolución final para la solicitud 100052 del 2012-02-13,1,2012,1,N,S,463,S,1,12.83,20211225,1,4,375,2,11,1,7,DC07,60,RUS,Senior,8
100053,20100,4,2,1,1,21,3,5.65,90,3,P,N,,2010-12-31,94,1967-07-10,2,M,344,58,30,58,2022-02-17,10,87,A1,1,Resolución final para la solicitud 100053 del 2010-12-31,6,2010,1,N,S,113,N,0,9.04,20220116,4,5,288,7,39,6,8,DC08,26,MNG,Adulto,5
100054,20140,4,7,4,3,100,4,7.12,27,10,D,N,,2014-10-01,14,1962-07-29,2,M,118,24,51,63,2022-01-11,5,45,D1,1,Resolución final para la solicitud 100054 del 2014-10-01,2,2014,1,S,S,418,N,0,13.36,20210104,5,1,374,5,45,1,2,DC02,32,THA,Senior,8
100055,20150,3,13,3,10,79,6,11.05,6,10,A,S,3.0,2015-04-23,24,1973-07-22,1,H,311,82,99,52,2023-07-19,33,39,A2,2,Resolución final para la solicitud 100055 del 2015-04-23,4,2015,1,N,N,123,S,1,8.33,20230614,7,5,101,6,30,1,2,DC02,39,HUN,Adulto ...,4
100056,20200,5,6,1,5,84,2,13.61,62,7,D,N,,2020-02-07,28,1981-12-11,2,M,52,95,29,44,2022-01-03,50,68,A1,1,Resolución final para la solicitud 100056 del 2020-02-07,1,2020,1,S,N,98,N,0,13.56,20221007,5,7,53,9,18,6,6,DC06,33,LBR,Adulto ...,4
100057,20100,2,11,5,8,45,6,8.26,79,9,P,N,,2010-04-28,100,2002-04-02,1,H,40,69,14,23,2020-01-24,40,74,P2,2,Resolución final para la solicitud 100057 del 2010-04-28,5,2010,1,S,S,59,S,1,9.87,20220615,6,8,38,10,49,1,1,DC01,43,TWN,Menor d...,1
100058,20200,1,9,4,8,76,5,7.16,72,4,A,S,4.0,2020-04-20,6,1981-10-25,1,H,241,31,57,44,2020-04-15,32,22,A2,2,Resolución final para la solicitud 100058 del 2020-04-20,3,2020,1,N,S,324,N,0,5.33,20201112,1,4,327,7,22,4,5,DC05,95,NLD,No consta,9
100059,20170,3,11,2,2,61,5,11.98,24,6,A,S,2.0,2017-02-11,86,1997-08-02,1,H,390,4,85,28,2021-04-05,45,11,A2,2,Resolución final para la solicitud 100059 del 2017-02-11,4,2017,1,S,S,183,S,1,6.52,20230627,6,2,356,2,29,14,1,DC01,91,QAT,No consta,9
100060,20240,3,7,2,3,53,3,13.75,33,4,A,S,2.0,2024-07-23,19,1977-12-14,1,H,143,47,79,48,2020-11-28,1,13,D2,2,Resolución final para la solicitud 100060 del 2024-07-23,7,2024,1,S,N,415,N,0,7.15,20221125,7,4,87,2,3,14,8,DC08,37,SLB,Adulto,5
100061,20200,5,6,4,1,44,2,8.06,82,10,P,N,,2020-07-30,40,1983-10-22,2,M,486,14,3,42,2020-09-03,20,5,P1,1,Resolución final para la solicitud 100061 del 2020-07-30,1,2020,1,N,N,397,S,1,9.46,20220607,1,9,358,5,36,8,8,DC08,19,CMR,Senior,8
100062,20100,2,15,3,9,25,6,11.43,73,8,D,N,,2010-08-21,66,1973-08-19,2,M,462,52,28,52,2023-10-14,28,7,P2,2,Resolución final para la solicitud 100062 del 2010-08-21,7,2010,1,S,S,335,S,1,9.07,20230620,8,8,242,6,25,4,7,DC07,58,BGR,Joven a...,3
100063,20110,2,4,5,7,97,1,13.12,73,4,P,N,,2011-07-26,58,1993-06-14,1,H,82,18,42,32,2022-04-22,11,35,P2,2,Resolución final para la solicitud 100063 del 2011-07-26,7,2011,1,S,S,498,N,0,10.85,20230303,1,2,85,5,32,7,3,DC03,39,HUN,Adulto ...,7
100064,20170,4,14,5,7,26,2,9.81,24,5,D,N,,2017-02-24,1,1993-03-23,1,H,418,56,59,32,2022-03-04,19,89,P2,2,Resolución final para la solicitud 100064 del 2017-02-24,1,2017,1,N,N,139,N,0,12.34,20230318,6,2,302,10,21,9,5,DC05,76,COM,Adulto,5
100065,20220,5,6,4,5,84,5,5.53,94,6,P,N,,2022-07-16,32,2002-04-18,2,M,282,41,7,23,2023-10-21,2,86,P2,2,Resolución final para la solicitud 100065 del 2022-07-16,5,2022,1,S,N,42,N,0,6.81,20230809,4,6,168,9,33,10,1,DC01,49,BIH,Adulto,5
100066,20150,5,6,3,2,39,5,6.25,59,7,P,N,,2015-08-24,47,1998-03-01,2,M,194,42,80,27,2022-07-21,9,54,D2,2,Resolución final para la solicitud 100066 del 2015-08-24,6,2015,1,S,N,18,N,0,9.03,20231027,7,3,377,3,44,9,2,DC02,6,UKR,Adulto ...,6
100067,20140,5,2,2,5,63,5,12.25,55,2,P,N,,2014-11-15,48,1992-02-18,1,H,432,44,9,33,2020-11-04,3,41,A1,1,Resolución final para la solicitud 100067 del 2014-11-15,3,2014,1,N,S,24,N,0,6.62,20220604,2,6,203,1,43,12,3,DC03,58,BGR,Joven a...,3
100068,20220,4,4,5,6,94,4,12.55,6,2,P,N,,2022-02-25,77,1975-07-06,1,H,212,48,37,50,2023-10-10,24,67,D2,2,Resolución final para la solicitud 100068 del 2022-02-25,6,2022,1,S,N,350,S,1,12.99,20200802,6,2,204,7,14,3,6,DC06,14,DEU,Descono...,10
100069,20160,3,4,5,10,56,1,10.92,60,9,P,N,,2016-10-06,51,1978-11-28,1,H,11,84,9,47,2023-08-26,23,23,D2,2,Resolución final para la solicitud 100069 del 2016-10-06,2,2016,1,S,S,247,S,1,6.5,20201222,6,1,405,8,17,12,6,DC06,79,NAM,Senior,8
100070,20150,3,3,5,10,4,1,9.86,51,8,A,S,1.0,2015-01-12,48,1967-07-13,1,H,154,6,42,58,2023-01-23,30,5,P1,1,Resolución final para la solicitud 100070 del 2015-01-12,3,2015,1,N,N,341,N,0,10.09,20220808,1,8,106,9,5,3,10,DC10,36,TUN,Adulto,5
100071,20220,1,5,1,6,61,3,6.31,80,8,A,S,1.0,2022-11-19,17,1991-02-24,1,H,499,78,54,34,2020-03-05,37,54,D2,2,Resolución final para la solicitud 100071 del 2022-11-19,3,2022,1,S,S,367,N,0,6.64,20220918,6,2,428,3,14,2,6,DC06,82,PAN,No consta,9
100072,20180,3,13,4,8,43,5,12.16,84,1,P,N,,2018-09-16,40,1980-07-10,2,M,245,76,29,45,2022-02-18,37,57,D1,1,Resolución final para la solicitud 100072 del 2018-09-16,5,2018,1,N,S,132,S,1,6.4,20220318,6,2,303,1,1,12,10,DC10,45,NOR,Senior,8
100073,20140,2,5,3,9,38,4,13.78,94,10,P,N,,2014-02-17,56,1960-02-19,1,H,46,31,8,65,2022-10-08,8,24,A2,2,Resolución final para la solicitud 100073 del 2014-02-17,6,2014,1,S,S,209,S,1,13.14,20201027,5,1,78,8,7,13,8,DC08,36,TUN,No consta,9
100074,20170,3,3,2,7,23,3,10.4,38,6,A,S,3.0,2017-06-28,41,1976-08-16,1,H,367,28,5,49,2020-10-13,34,15,A1,1,Resolución final para la solicitud 100074 del 2017-06-28,2,2017,1,N,N,72,S,1,9.82,20210816,5,8,292,6,8,15,3,DC03,13,MCO,Senior,8
100075,20160,4,9,1,1,14,3,11.47,31,7,A,S,3.0,2016-10-01,52,1993-03-31,2,M,343,28,66,32,2020-04-16,8,76,D1,1,Resolución final para la solicitud 100075 del 2016-10-01,3,2016,1,S,S,53,S,1,12.31,20200908,5,1,158,8,14,8,1,DC01,21,VNM,Menor d...,1
100076,20210,5,14,2,1,59,4,9.06,45,10,D,N,,2021-07-19,5,1965-02-15,2,M,192,28,83,60,2021-12-01,32,43,A1,1,Resolución final para la solicitud 100076 del 2021-07-19,4,2021,1,S,S,99,N,0,12.55,20210113,1,4,113,3,47,10,8,DC08,54,MRT,Adulto ...,6
100077,20210,5,14,2,4,65,5,5.09,64,4,P,N,,2021-04-07,34,1983-04-28,2,M,26,92,24,42,2023-10-20,47,100,P1,1,Resolución final para la solicitud 100077 del 2021-04-07,2,2021,1,S,N,243,N,0,9.37,20220101,7,10,423,10,28,14,8,DC08,59,BRA,Descono...,10
100078,20180,2,12,5,9,54,6,13.21,45,10,D,N,,2018-06-25,45,1999-12-06,2,M,432,51,91,26,2020-05-06,36,52,A2,2,Resolución final para la solicitud 100078 del 2018-06-25,5,2018,1,S,N,168,N,0,6.25,20200516,6,1,154,2,40,11,4,DC04,83,BEL,Adulto ...,6
100079,20240,3,7,5,9,22,5,8.55,95,4,A,S,4.0,2024-08-24,76,1968-11-11,1,H,397,56,67,57,2022-01-25,29,74,D1,1,Resolución final para la solicitud 100079 del 2024-08-24,6,2024,1,N,S,46,N,0,12.22,20220104,3,3,146,10,28,10,8,DC08,69,TZA,Descono...,10
