ID_CURSO_ACADEMICO_NK,ID_CURSO_ACADEMICO,ID_EXPEDIENTE_EST_PROPIO_NK,ID_EXPEDIENTE_EST_PROPIO,ID_PERSONA_NIP_NK,ID_PERSONA,ID_ESTUDIO_PROPIO_NK,ID_ESTUDIO_PROPIO_EDICION_NK,ID_ESTUDIO_PROPIO,ID_ESTUDIO_PROPIO_TIPO_NK,ID_ESTUDIO_PROPIO_TIPO,ID_ESTUDIO_PROPIO_MODALIDAD_NK,ID_ESTUDIO_PROPIO_MODALIDAD,TOTAL_CREDITOS_EP,NUMERO_CURSOS_EP,ID_CENTRO_DEPT_GESTION_EP_NK,ID_CENTRO_DEPT_GESTION_EP,ID_RAMA_CONOCIMIENTO_EP_NK,ID_RAMA_ESTUDIO_PROPIO,ANO_ACAD_APERTURA,CREDITOS_MATRICULADOS,FECHA_MATRICULA,ID_FECHA_MATRICULA,FLG_NUEVO_INGRESO,SN_NUEVO_INGRESO,FLG_ESTUDIANTE_INTERNACIONAL,SN_ESTUDIANTE_INTERNACIONAL,ID_PAIS_NACIONALIDAD,ID_PAIS_NACIONALIDAD_NK,DOCUMENTO_IDENTIDAD,FECHA_NACIMIENTO,ID_PAIS_PROCEDENCIA,ID_PAIS_PROCEDENCIA_NK,ID_POBLACION_FAMILIAR,COD_POSTAL_FAMILIAR,ID_POBLACION_CURSO,ID_PAIS_CURSO,COD_POSTAL_CURSO,SEXO,ID_SEXO,EDAD,FECHA_CARGA,ID_FECHA_CARGA,ID_ORGANO_PROPONENTE_EP_NK,ID_ORGANO_PROPONENTE_EP,EDAD_EST,ID_EDAD_EST
2019,20190,30021,30021,44241559,7,400,4,4,EP06,6,MOD04,4,42,3,1600,16,3,3,2014,28.2,2024-10-17 18:13:48.972303,20241017,1,S,1,S,48,ATG,68230047H,1967-11-26 18:13:48.972303,69,TZA,110,31315,167,8,12900,M,2,57,2025-06-03 18:13:48.972303,20250603,OG004,4,31-40,5
2024,20240,30022,30022,20560218,39,2600,9,26,EP05,5,MOD01,1,29,1,2600,26,4,1,2019,28.3,2025-04-12 18:13:48.981312,20250412,1,S,1,S,14,DEU,97401489P,1998-07-16 18:13:48.981312,45,NOR,187,46090,285,88,32328,H,1,26,2025-06-03 18:13:48.981312,20250603,OG003,3,41-50,6
2019,20190,30023,30023,65609379,78,500,3,5,EP03,3,MOD02,2,18,3,4400,44,4,3,2019,16.1,2024-09-26 18:13:48.989295,20240926,1,S,1,S,42,SWE,34125286W,1991-05-13 18:13:48.989295,1,ESP,472,45475,40,8,11030,M,2,34,2025-06-03 18:13:48.989295,20250603,OG001,1,16-18,1
2015,20150,30024,30024,31611127,4,2300,3,23,EP06,6,MOD04,4,102,3,1700,17,4,5,2013,38.6,2024-08-09 18:13:49.001286,20240809,1,S,1,S,43,TWN,51801704T,1965-10-19 18:13:49.001286,38,PAK,73,25208,456,80,33306,H,1,59,2025-06-03 18:13:49.001286,20250603,OG005,5,41-50,6
2024,20240,30025,30025,97077009,94,300,10,3,EP03,3,MOD01,1,76,2,4500,45,2,5,2023,36.8,2024-10-19 18:13:49.011295,20241019,0,N,1,S,15,CAN,84577590N,1967-12-03 18:13:49.011295,95,NLD,92,09409,252,17,02023,M,2,57,2025-06-03 18:13:49.011295,20250603,OG003,3,16-18,1
2023,20230,30026,30026,7749299,89,2600,9,26,EP06,6,MOD01,1,79,4,1900,19,5,5,2022,38.7,2025-01-12 18:13:49.020295,20250112,1,S,1,S,7,AUT,92330958B,1983-06-16 18:13:49.020295,23,GTM,71,09403,93,8,22273,H,1,41,2025-06-03 18:13:49.020295,20250603,OG002,2,31-40,5
2016,20160,30027,30027,44241559,7,800,2,8,EP02,2,MOD05,5,66,2,2200,22,2,1,2013,13.4,2025-03-19 18:13:49.029303,20250319,1,S,1,S,8,HTI,68230047H,1971-04-12 18:13:49.029303,64,FSM,262,34933,342,97,44457,M,2,54,2025-06-03 18:13:49.029303,20250603,OG007,7,26-30,4
2019,20190,30028,30028,75721444,60,2800,9,28,EP03,3,MOD02,2,113,3,3200,32,4,3,2016,23.9,2024-11-30 18:13:49.038305,20241130,0,N,1,S,97,GAB,37416724W,1999-08-15 18:13:49.038305,25,PHL,189,39578,342,97,07544,M,2,25,2025-06-03 18:13:49.038305,20250603,OG001,1,16-18,1
2011,20110,30029,30029,54414096,24,500,3,5,EP01,1,MOD01,1,25,4,300,3,2,5,2009,22.8,2025-01-10 18:13:49.047295,20250110,0,N,1,S,30,HND,87717535C,1971-04-07 18:13:49.047295,26,MNG,402,15550,309,39,23225,H,1,54,2025-06-03 18:13:49.047295,20250603,OG005,5,22-25,3
2012,20120,30030,30030,62059365,91,2900,10,29,EP04,4,MOD05,5,108,4,1000,10,1,1,2012,79.9,2024-07-01 18:13:49.056303,20240701,0,N,1,S,95,NLD,48126042Z,1994-06-21 18:13:49.056303,69,TZA,375,10068,488,22,42285,M,2,30,2025-06-03 18:13:49.056303,20250603,OG003,3,41-50,6
2019,20190,30031,30031,2921981,95,2400,5,24,EP06,6,MOD04,4,39,4,1300,13,4,4,2019,21.4,2024-08-05 18:13:49.064295,20240805,0,N,0,N,1,ESP,17518636L,2002-11-19 18:13:49.064295,54,MRT,182,42559,489,100,38927,M,2,22,2025-06-03 18:13:49.064295,20250603,OG001,1,19-21,2
2015,20150,30032,30032,76866717,66,1400,8,14,EP05,5,MOD04,4,29,1,3800,38,5,4,2012,11.0,2024-08-27 18:13:49.073303,20240827,0,N,1,S,26,MNG,37567982N,1958-01-28 18:13:49.074305,24,BLZ,108,24306,349,71,10488,M,2,67,2025-06-03 18:13:49.074305,20250603,OG002,2,NC,9
2022,20220,30033,30033,68501420,80,3000,5,30,EP04,4,MOD01,1,120,2,2700,27,1,4,2022,25.7,2025-05-26 18:13:49.083317,20250526,1,S,1,S,91,QAT,82827422Y,2000-03-15 18:13:49.083317,33,LBR,81,12408,56,8,33886,H,1,25,2025-06-03 18:13:49.083317,20250603,OG002,2,DESC,10
2013,20130,30034,30034,75686878,88,2300,3,23,EP03,3,MOD03,3,53,4,4200,42,4,1,2012,33.5,2024-09-02 18:13:49.092325,20240902,0,N,1,S,12,ITA,13395962A,1959-03-13 18:13:49.092325,7,AUT,40,10741,70,8,23011,H,1,66,2025-06-03 18:13:49.092325,20250603,OG002,2,19-21,2
2012,20120,30035,30035,75686878,88,1700,6,17,EP06,6,MOD05,5,12,1,4300,43,3,1,2011,10.4,2024-09-06 18:13:49.102316,20240906,0,N,1,S,28,KAZ,13395962A,1993-03-12 18:13:49.102316,89,KEN,144,21291,307,15,34080,H,1,32,2025-06-03 18:13:49.102316,20250603,OG007,7,22-25,3
2023,20230,30036,30036,48557943,58,1500,6,15,EP02,2,MOD03,3,78,1,800,8,1,4,2018,37.6,2024-07-30 18:13:49.111313,20240730,0,N,1,S,80,ETH,93564651F,2002-01-12 18:13:49.111313,67,SVN,81,48943,138,8,12735,H,1,23,2025-06-03 18:13:49.111313,20250603,OG001,1,DESC,10
2012,20120,30037,30037,35835371,6,600,9,6,EP04,4,MOD04,4,64,4,800,8,5,3,2011,49.0,2024-10-09 18:13:49.120327,20241009,0,N,1,S,50,NZL,61825128R,1977-01-24 18:13:49.120327,7,AUT,403,15635,250,72,21547,H,1,48,2025-06-03 18:13:49.120327,20250603,OG008,8,NC,9
2022,20220,30038,30038,81300905,41,400,4,4,EP04,4,MOD05,5,105,2,1200,12,5,3,2019,34.6,2024-07-30 18:13:49.129317,20240730,1,S,1,S,72,GNB,14293968C,1963-06-13 18:13:49.129317,57,MLI,11,16930,494,62,03331,H,1,62,2025-06-03 18:13:49.129317,20250603,OG002,2,16-18,1
2016,20160,30039,30039,2921981,95,2400,5,24,EP06,6,MOD01,1,59,2,3100,31,3,3,2012,19.1,2025-01-31 18:13:49.138328,20250131,0,N,1,S,70,BRN,17518636L,1978-10-23 18:13:49.138328,45,NOR,352,18684,60,8,16303,M,2,46,2025-06-03 18:13:49.138328,20250603,OG008,8,41-50,6
2011,20110,30040,30040,21436829,23,1900,7,19,EP03,3,MOD04,4,89,3,2700,27,3,4,2010,25.9,2025-05-21 18:13:49.148322,20250521,1,S,1,S,78,GNQ,46785445H,1981-07-28 18:13:49.148322,67,SVN,250,28100,387,89,23939,M,2,43,2025-06-03 18:13:49.148322,20250603,OG003,3,19-21,2
2018,20180,30041,30041,31715995,17,3000,5,30,EP04,4,MOD05,5,61,4,4100,41,5,2,2016,45.9,2025-04-03 18:13:49.157327,20250403,0,N,1,S,84,BWA,42708668Z,1960-12-20 18:13:49.157327,2,COG,19,31361,28,8,24418,H,1,64,2025-06-03 18:13:49.157327,20250603,OG001,1,DESC,10
2011,20110,30042,30042,67845324,64,2400,5,24,EP06,6,MOD01,1,94,1,300,3,2,2,2009,21.7,2025-03-29 18:13:49.166317,20250329,0,N,1,S,27,SLV,90965610N,1998-12-04 18:13:49.166317,21,VNM,163,16981,121,8,51619,H,1,26,2025-06-03 18:13:49.166317,20250603,OG004,4,19-21,2
2014,20140,30043,30043,44039203,70,100,10,1,EP04,4,MOD05,5,25,2,2200,22,5,3,2010,14.0,2024-10-16 18:13:49.175327,20241016,1,S,1,S,96,SVK,01051238T,1961-01-17 18:13:49.175327,12,ITA,58,09698,310,52,29844,H,1,64,2025-06-03 18:13:49.175327,20250603,OG005,5,41-50,6
2013,20130,30044,30044,63193474,46,1300,3,13,EP04,4,MOD02,2,77,4,1200,12,4,5,2012,42.4,2025-01-16 18:13:49.184326,20250116,0,N,1,S,64,FSM,31142626M,1970-05-30 18:13:49.184326,7,AUT,11,49973,268,59,39362,H,1,55,2025-06-03 18:13:49.184326,20250603,OG008,8,22-25,3
2010,20100,30045,30045,20112846,68,1400,8,14,EP01,1,MOD01,1,106,2,2300,23,1,1,2009,21.1,2024-06-08 18:13:49.192317,20240608,1,S,1,S,7,AUT,25457387K,1966-08-15 18:13:49.192317,32,THA,479,03822,374,12,49096,H,1,58,2025-06-03 18:13:49.192317,20250603,OG003,3,26-30,4
2024,20240,30046,30046,17927298,37,2000,1,20,EP06,6,MOD05,5,72,4,2700,27,3,4,2023,44.0,2024-07-26 18:13:49.201329,20240726,1,S,1,S,2,COG,68700217E,2002-07-21 18:13:49.201329,70,BRN,474,10511,44,8,20083,H,1,22,2025-06-03 18:13:49.201329,20250603,OG003,3,22-25,3
2017,20170,30047,30047,70890196,56,800,2,8,EP05,5,MOD05,5,12,3,4900,49,2,3,2016,11.8,2024-10-06 18:13:49.210325,20241006,1,S,1,S,8,HTI,75692459B,1965-07-26 18:13:49.210325,64,FSM,387,16922,125,8,04918,H,1,59,2025-06-03 18:13:49.210325,20250603,OG007,7,41-50,6
2024,20240,30048,30048,39599276,32,1000,8,10,EP05,5,MOD02,2,58,2,4800,48,3,3,2022,39.1,2025-04-19 18:13:49.221326,20250419,1,S,1,S,31,MUS,00886008W,1973-06-28 18:13:49.221326,17,URY,28,36270,3,8,49962,M,2,51,2025-06-03 18:13:49.221326,20250603,OG007,7,41-50,6
2020,20200,30049,30049,48557943,58,2000,1,20,EP01,1,MOD02,2,25,1,100,1,5,3,2015,15.0,2024-07-24 18:13:49.230328,20240724,0,N,1,S,54,MRT,93564651F,2003-02-11 18:13:49.230328,46,MDV,101,28345,16,8,25576,H,1,22,2025-06-03 18:13:49.230328,20250603,OG005,5,51-65,7
2016,20160,30050,30050,1534878,12,2500,4,25,EP03,3,MOD01,1,15,4,1500,15,4,2,2016,13.6,2024-10-11 18:13:49.240317,20241011,1,S,1,S,70,BRN,02843959D,1972-08-12 18:13:49.240317,91,QAT,311,38218,444,21,32551,H,1,52,2025-06-03 18:13:49.240317,20250603,OG003,3,19-21,2
2010,20100,30051,30051,59791674,81,1300,3,13,EP06,6,MOD04,4,81,3,1400,14,5,4,2009,71.4,2025-02-08 18:13:49.249318,20250208,1,S,1,S,55,SMR,57905072L,1974-06-18 18:13:49.249318,12,ITA,221,15132,414,7,30397,M,2,50,2025-06-03 18:13:49.249318,20250603,OG002,2,NC,9
2010,20100,30052,30052,34152669,97,2900,10,29,EP02,2,MOD01,1,115,2,4400,44,1,4,2009,93.8,2025-03-15 18:13:49.258316,20250315,0,N,1,S,40,TUV,29750017T,1977-02-22 18:13:49.258316,84,BWA,144,01883,66,8,07958,M,2,48,2025-06-03 18:13:49.258316,20250603,OG004,4,19-21,2
2018,20180,30053,30053,59791674,81,400,4,4,EP02,2,MOD02,2,83,1,4500,45,4,3,2015,33.2,2024-10-19 18:13:49.269325,20241019,0,N,1,S,84,BWA,57905072L,2001-11-26 18:13:49.269325,85,NER,46,03518,271,26,24363,M,2,23,2025-06-03 18:13:49.269325,20250603,OG004,4,31-40,5
2012,20120,30054,30054,89133246,48,3000,5,30,EP06,6,MOD03,3,26,2,1700,17,3,2,2009,14.2,2025-05-12 18:13:49.278322,20250512,1,S,1,S,37,SLB,41212678J,1982-05-10 18:13:49.278322,56,LIE,94,32601,349,71,10671,H,1,43,2025-06-03 18:13:49.278322,20250603,OG004,4,51-65,7
2014,20140,30055,30055,89628735,19,2800,9,28,EP03,3,MOD03,3,71,2,700,7,2,5,2009,34.2,2025-03-20 18:13:49.287634,20250320,1,S,1,S,27,SLV,75183046W,1972-04-26 18:13:49.287634,79,NAM,115,45254,73,8,48162,H,1,53,2025-06-03 18:13:49.287634,20250603,OG001,1,NC,9
2015,20150,30056,30056,76866717,66,2800,9,28,EP05,5,MOD02,2,38,2,400,4,4,5,2014,11.1,2024-08-05 18:13:49.296097,20240805,0,N,1,S,2,COG,37567982N,1959-05-28 18:13:49.296097,52,EST,15,34771,236,37,33424,M,2,66,2025-06-03 18:13:49.296623,20250603,OG003,3,>65,8
2020,20200,30057,30057,97023650,10,1800,8,18,EP03,3,MOD02,2,116,1,1500,15,5,3,2019,15.2,2024-06-09 18:13:49.304737,20240609,0,N,1,S,12,ITA,33119079E,1972-07-23 18:13:49.304737,51,AND,317,52686,37,8,23311,H,1,52,2025-06-03 18:13:49.304737,20250603,OG004,4,19-21,2
2015,20150,30058,30058,89133246,48,1500,6,15,EP06,6,MOD02,2,49,1,4300,43,5,5,2014,42.9,2025-05-07 18:13:49.314728,20250507,1,S,1,S,27,SLV,41212678J,2002-06-26 18:13:49.314728,80,ETH,360,31840,311,89,39328,H,1,22,2025-06-03 18:13:49.314728,20250603,OG002,2,22-25,3
2016,20160,30059,30059,404729,98,300,10,3,EP03,3,MOD01,1,58,1,2100,21,5,3,2016,25.2,2025-04-08 18:13:49.323737,20250408,0,N,1,S,19,CMR,01277063B,1980-06-04 18:13:49.323737,54,MRT,473,20353,339,40,45862,H,1,45,2025-06-03 18:13:49.323737,20250603,OG005,5,31-40,5
2023,20230,30060,30060,29246218,99,500,3,5,EP04,4,MOD03,3,56,2,3600,36,4,4,2018,48.3,2024-10-26 18:13:49.333731,20241026,0,N,1,S,8,HTI,24241541R,1997-12-29 18:13:49.333731,76,COM,158,29853,352,13,05277,M,2,27,2025-06-03 18:13:49.333731,20250603,OG001,1,31-40,5
2017,20170,30061,30061,35835371,6,2800,9,28,EP02,2,MOD01,1,108,2,3200,32,1,3,2012,28.9,2024-07-27 18:13:49.343739,20240727,0,N,1,S,40,TUV,61825128R,1980-01-17 18:13:49.343739,17,URY,171,26214,383,54,24220,H,1,45,2025-06-03 18:13:49.343739,20250603,OG005,5,16-18,1
2010,20100,30062,30062,62059365,91,1200,7,12,EP04,4,MOD05,5,22,4,2700,27,1,5,2008,14.3,2025-02-24 18:13:49.352729,20250224,0,N,1,S,35,IRQ,48126042Z,1989-06-25 18:13:49.352729,19,CMR,431,46367,174,8,23921,M,2,35,2025-06-03 18:13:49.352729,20250603,OG005,5,19-21,2
2021,20210,30063,30063,59959826,5,1500,6,15,EP02,2,MOD01,1,49,4,3200,32,5,5,2020,14.5,2024-09-19 18:13:49.361721,20240919,0,N,1,S,9,ARG,62265676F,1972-04-28 18:13:49.361721,43,TWN,157,23652,445,11,33464,M,2,53,2025-06-03 18:13:49.361721,20250603,OG001,1,26-30,4
2010,20100,30064,30064,10482769,59,1500,6,15,EP03,3,MOD03,3,104,4,600,6,4,4,2010,44.8,2024-11-11 18:13:49.370738,20241111,0,N,1,S,68,GRC,93982807T,1967-05-05 18:13:49.370738,61,CHN,499,05521,5,8,37031,H,1,58,2025-06-03 18:13:49.370738,20250603,OG002,2,16-18,1
2017,20170,30065,30065,68886959,85,2500,4,25,EP01,1,MOD03,3,115,4,2200,22,1,2,2014,36.5,2024-12-20 18:13:49.379739,20241220,1,S,1,S,51,AND,78819148B,1961-04-24 18:13:49.379739,11,GIN,138,06498,37,8,11687,H,1,64,2025-06-03 18:13:49.379739,20250603,OG005,5,51-65,7
2014,20140,30066,30066,27133023,65,2700,3,27,EP05,5,MOD04,4,101,4,1800,18,5,1,2013,73.1,2025-01-27 18:13:49.388729,20250127,1,S,1,S,33,LBR,14388899F,1986-08-02 18:13:49.388729,55,SMR,39,49003,118,8,31122,M,2,38,2025-06-03 18:13:49.388729,20250603,OG001,1,DESC,10
2015,20150,30067,30067,33214247,50,1500,6,15,EP02,2,MOD02,2,91,1,2200,22,2,1,2012,20.9,2024-07-26 18:13:49.398730,20240726,1,S,1,S,84,BWA,19956046G,1962-09-03 18:13:49.398730,49,BIH,49,03689,376,83,49421,M,2,62,2025-06-03 18:13:49.398730,20250603,OG003,3,DESC,10
2024,20240,30068,30068,75721444,60,2500,4,25,EP01,1,MOD04,4,61,4,2500,25,2,2,2023,27.3,2025-03-06 18:13:49.407729,20250306,1,S,1,S,87,MWI,37416724W,1998-10-15 18:13:49.407729,30,HND,252,33556,124,8,14784,M,2,26,2025-06-03 18:13:49.407729,20250603,OG008,8,19-21,2
2016,20160,30069,30069,87735896,14,1400,8,14,EP06,6,MOD03,3,50,2,2100,21,1,5,2015,45.3,2024-06-25 18:13:49.417725,20240625,1,S,1,S,71,LSO,44089268Q,1970-12-02 18:13:49.417725,93,CHL,391,15407,13,8,09216,M,2,54,2025-06-03 18:13:49.417725,20250603,OG003,3,41-50,6
2019,20190,30070,30070,40526484,8,800,2,8,EP03,3,MOD01,1,70,3,1800,18,4,2,2018,26.8,2025-01-24 18:13:49.427738,20250124,1,S,1,S,36,TUN,86863375B,2002-02-13 18:13:49.427738,97,GAB,344,28278,321,97,03912,M,2,23,2025-06-03 18:13:49.427738,20250603,OG002,2,DESC,10
2016,20160,30071,30071,55813853,43,1300,3,13,EP04,4,MOD01,1,47,2,1600,16,1,4,2011,12.4,2024-11-25 18:13:49.437732,20241125,0,N,1,S,2,COG,63159996H,1992-02-05 18:13:49.437732,58,BGR,191,26574,13,8,43469,M,2,33,2025-06-03 18:13:49.437732,20250603,OG001,1,31-40,5
2019,20190,30072,30072,78176558,9,2100,9,21,EP06,6,MOD03,3,107,1,700,7,5,1,2017,22.5,2025-02-22 18:13:49.446722,20250222,0,N,1,S,71,LSO,24310690N,1977-05-12 18:13:49.447727,13,MCO,33,27627,391,73,19573,H,1,48,2025-06-03 18:13:49.447727,20250603,OG002,2,22-25,3
2017,20170,30073,30073,7749299,89,300,10,3,EP02,2,MOD04,4,74,4,3900,39,5,3,2016,20.9,2025-04-27 18:13:49.457720,20250427,0,N,1,S,15,CAN,92330958B,1994-06-06 18:13:49.457720,48,ATG,127,24443,273,6,32793,H,1,31,2025-06-03 18:13:49.457720,20250603,OG008,8,51-65,7
