ID_CURSO_ACADEMICO,ID_PLAN_ESTUDIO,ID_TIPO_ESTUDIO,ID_CENTRO,ID_TIPO_ACCESO,ID_ESTUDIO_PREVIO,ID_CUPO_ADJUDICACION,PLAZAS_OFERTADAS,PLAZAS_ASIGNADAS,PLAZAS_SOLICITADAS,NOTA_AGREGADA,NOTA_CORTE_ADJUDICACION_1,NOTA_CORTE_ADJUDICACION_2,NOTA_CORTE_DEFINITIVA_1,NOTA_CORTE_DEFINITIVA_2,FLG_ADMITIDOS_TODOS_1,FLG_ADMITIDOS_TODOS_2,PARTICIPA_1,PARTICIPA_2,ID_CURSO_ACADEMICO_NK,FECHA_CARGA,NOTA_MEDIA_ADMISION,PRELA_CONVO_NOTA_DEF,PRELA_CONVO_NOTA_DEF_1,PRELA_CONVO_NOTA_DEF_2,NUM_CREDENCIAL_UNED,PLAZAS_SOLICITADAS_PREF_1,ID_FECHA_CARGA,ID_TIPO_CENTRO,ID_CAMPUS,ID_POBLACION_CENTRO,ID_ESTUDIO,ID_RAMA_CONOCIMIENTO,ORDEN_BOE_PLAN,SN_DOCTORADO_VIGENTE,ID_PERSONA_NIP_COORD_NK,CORREO_COORD,ID_PERSONA_COORD,FLG_INTERUNIVERSITARIO,FLG_COORDINADOR,FLG_MULTIPLE_TITULACION,FLG_MASTER_HAB,SN_MASTER_HABILITANTE,SN_MULTIPLE_TITULACION,SN_INTERUNIVERSITARIO,SN_COORDINADOR
20180,50,9,10,14,9,1,25,10,17,12.565,8.86,5.003,9.181,4.821,S,S,0,1,2018,2022-05-08,12.813,2,2,1,2,16,20220514,4,2,165,30,10,BOE-A-2011-5235,N,56269520,fortunata.uría@universidad.es,69,1,1,1,1,S,S,S,S
20120,52,7,12,7,4,5,198,143,170,12.008,13.311,6.568,13.725,6.941,S,S,0,0,2012,2020-04-12,9.541,2,2,1,29,165,20230226,3,2,458,7,6,BOE-A-2017-8436,N,13542127,jennifer.orozco@universidad.es,75,1,0,1,1,S,S,S,N
20100,11,4,7,2,4,6,37,35,69,10.597,10.993,8.143,11.34,7.809,N,N,1,0,2010,2020-10-21,11.676,2,2,1,8,65,20200731,6,5,321,33,8,BOE-A-2014-1796,N,50905625,alonso.novoa@universidad.es,57,0,0,0,1,S,N,N,N
20100,75,5,27,12,7,6,126,76,148,12.958,12.33,10.431,12.564,10.793,N,N,0,1,2010,2021-05-27,12.634,1,1,2,8,79,20200731,4,1,203,22,1,BOE-A-2011-1439,S,41361818,maría teresa.montes@universidad.es,1,1,0,1,1,S,S,S,N
20170,58,3,13,8,10,6,23,15,22,11.461,10.318,6.753,10.666,6.78,S,S,1,1,2017,2020-04-25,5.985,2,2,1,0,18,20231210,6,8,226,3,4,BOE-A-2012-4344,N,27659807,teodoro.calatayud@universidad.es,73,1,1,1,0,N,S,S,S
20230,63,2,23,15,7,3,102,100,103,9.116,6.994,6.018,6.93,5.663,N,N,0,0,2023,2021-01-16,9.715,2,2,1,25,100,20231116,7,1,27,31,4,BOE-A-2012-7627,N,94004067,chus.giralt@universidad.es,13,0,0,0,0,N,N,N,N
20210,64,6,44,8,2,6,134,28,39,11.859,10.358,6.311,10.201,6.599,S,S,0,1,2021,2023-09-07,8.708,1,1,2,1,28,20200411,7,3,388,28,9,BOE-A-2010-2284,N,4506531,luís.mancebo@universidad.es,77,1,1,0,0,N,N,S,S
20240,80,1,38,12,4,6,48,40,66,9.31,9.732,7.414,10.029,7.154,N,N,0,1,2024,2020-08-12,9.312,1,1,2,2,51,20221007,5,5,395,28,7,BOE-A-2015-6591,N,67631755,valerio.ortega@universidad.es,93,1,1,0,1,S,N,S,S
20220,86,8,35,3,7,3,89,44,63,7.334,9.657,6.56,10.134,6.373,S,S,0,1,2022,2022-08-19,6.556,2,2,1,6,50,20200427,8,7,487,36,1,BOE-A-2016-5046,N,86688655,angelina.roura@universidad.es,26,0,0,1,1,S,S,N,N
20110,69,7,49,9,4,2,72,45,88,7.796,9.004,5.423,8.636,5.317,N,N,1,1,2011,2022-09-16,7.464,2,2,1,1,70,20231122,6,9,32,30,1,BOE-A-2019-4589,N,38824283,venceslás.gaya@universidad.es,94,0,1,0,0,N,N,N,S
20110,29,2,2,12,10,5,113,35,40,12.769,5.956,5.903,6.228,5.739,S,S,1,1,2011,2023-06-18,11.413,2,2,1,6,35,20220110,8,6,473,9,7,BOE-A-2016-6854,N,91634516,ricardo.boada@universidad.es,34,0,1,0,0,N,N,N,S
20110,83,1,14,14,8,3,96,56,82,13.296,5.708,5.115,5.816,5.344,S,S,1,1,2011,2020-11-08,6.356,2,2,1,13,71,20201220,6,2,299,13,8,BOE-A-2021-3231,N,56925500,milagros.gabaldón@universidad.es,55,1,1,1,0,N,S,S,S
20190,49,9,16,13,10,6,60,46,74,9.129,11.969,8.452,12.422,8.722,N,N,0,0,2019,2022-10-05,6.5,2,2,1,6,59,20230907,5,8,454,11,1,BOE-A-2018-5708,N,97311066,raúl.cid@universidad.es,65,0,0,1,0,N,S,N,N
20170,36,5,32,4,3,3,104,56,73,9.591,13.921,11.128,13.463,10.697,S,S,0,1,2017,2022-05-06,9.043,1,1,2,6,69,20211013,2,6,170,8,8,BOE-A-2019-5696,S,9031632,rosalva.bonet@universidad.es,74,0,0,1,1,S,S,N,N
20140,64,1,1,5,3,5,89,70,84,5.422,13.815,5.777,13.871,5.814,S,S,0,1,2014,2022-04-05,8.748,2,2,1,12,72,20211004,7,9,349,21,6,BOE-A-2021-8895,N,67631755,valerio.ortega@universidad.es,93,1,0,1,0,N,S,S,N
20210,44,10,37,1,6,5,185,89,154,7.343,11.144,10.446,10.759,10.813,S,S,1,0,2021,2021-09-26,12.021,1,1,2,13,112,20220808,4,6,272,8,5,BOE-A-2011-7922,N,13542127,jennifer.orozco@universidad.es,75,0,0,1,1,S,S,N,N
20100,98,7,16,8,1,6,115,14,22,6.163,7.233,5.103,7.015,4.889,S,S,1,0,2010,2020-08-12,5.551,2,2,1,0,16,20220110,5,8,225,5,3,BOE-A-2021-1128,N,32301683,constanza.carbonell@universidad.es,72,1,0,0,1,S,N,S,N
20150,58,9,8,5,2,2,39,36,59,6.645,9.454,9.126,9.616,8.865,N,N,0,0,2015,2020-08-09,12.466,2,2,1,4,43,20210313,6,7,491,32,8,BOE-A-2020-1741,N,53143336,renato.espejo@universidad.es,4,0,0,0,0,N,N,N,N
20240,94,5,14,3,4,6,181,64,104,9.028,7.513,7.274,7.299,7.255,S,S,1,0,2024,2021-03-21,6.178,1,1,2,7,88,20230125,6,2,250,3,7,BOE-A-2013-5992,S,38824283,venceslás.gaya@universidad.es,94,0,0,1,1,S,S,N,N
20120,18,3,43,8,6,4,155,64,103,10.707,9.107,5.104,9.42,5.111,S,S,0,1,2012,2021-06-26,5.609,1,1,2,5,81,20230606,5,2,52,42,8,BOE-A-2019-8165,N,97691465,pánfilo.carbonell@universidad.es,46,0,0,0,1,S,N,N,N
20210,66,4,10,1,10,2,178,150,159,11.981,10.499,7.241,10.438,7.109,S,S,1,1,2021,2021-10-29,10.152,2,2,1,17,150,20230416,4,2,302,50,8,BOE-A-2021-6012,N,91634516,ricardo.boada@universidad.es,34,0,1,1,1,S,S,N,S
20180,25,3,15,4,5,5,110,57,101,10.422,12.794,8.839,12.634,8.571,S,S,1,0,2018,2022-07-23,12.221,1,1,2,2,85,20230830,8,4,110,32,4,BOE-A-2016-5133,N,58916591,poncio.ibáñez@universidad.es,87,0,0,0,1,S,N,N,N
20100,46,8,7,14,8,1,186,148,205,11.709,8.294,5.55,8.426,5.847,N,N,1,1,2010,2022-02-03,6.925,1,1,2,3,162,20210807,6,5,186,42,10,BOE-A-2021-4977,N,46241881,nieves.soria@universidad.es,12,1,0,0,0,N,N,S,N
20100,85,3,9,1,2,4,181,120,219,13.175,8.545,8.471,9.034,8.667,N,N,1,0,2010,2023-04-30,8.373,2,2,1,25,125,20230614,5,8,117,12,9,BOE-A-2014-9911,N,9263592,felisa.barral@universidad.es,17,1,1,0,0,N,N,S,S
20190,22,10,37,13,6,5,52,49,82,9.946,12.743,7.476,13.059,7.221,N,N,1,1,2019,2020-12-30,6.765,2,2,1,3,68,20200424,4,6,401,6,2,BOE-A-2020-3056,N,2921981,asdrubal.ocaña@universidad.es,3,1,1,0,0,N,N,S,S
20230,42,4,13,3,4,5,45,45,69,7.627,5.998,5.074,5.591,5.323,N,N,0,0,2023,2021-07-19,10.802,2,2,1,5,57,20200117,6,8,354,39,7,BOE-A-2019-8739,N,6078694,hernando.puente@universidad.es,10,1,1,1,1,S,S,S,S
20140,59,1,13,3,3,4,156,88,172,12.758,11.248,6.671,11.208,6.289,N,N,0,0,2014,2021-09-29,5.687,1,1,2,9,112,20210424,6,8,21,34,1,BOE-A-2021-5462,N,97311066,raúl.cid@universidad.es,65,0,1,0,0,N,N,N,S
20160,5,2,2,11,10,4,72,55,89,5.583,12.358,5.695,11.955,5.557,N,N,1,1,2016,2021-12-02,12.193,2,2,1,10,65,20231128,8,6,76,40,9,BOE-A-2010-5612,N,94393484,jordana.peinado@universidad.es,81,0,0,1,0,N,S,N,N
20230,55,4,7,1,1,5,39,29,52,10.374,13.233,8.159,13.477,7.897,N,N,0,1,2023,2021-04-27,6.187,1,1,2,7,51,20210830,6,5,489,22,5,BOE-A-2016-3497,N,86688655,angelina.roura@universidad.es,26,1,0,1,1,S,S,S,N
20190,85,5,20,14,5,5,190,83,157,13.436,13.906,8.547,13.842,8.559,S,S,0,1,2019,2023-06-18,5.077,1,1,2,4,110,20220908,6,4,114,32,2,BOE-A-2020-6179,S,80251151,francisco jose.sotelo@universidad.es,100,1,0,0,1,S,N,S,N
20190,16,8,3,2,4,5,21,12,21,12.001,6.139,6.127,5.848,6.609,S,S,1,0,2019,2021-07-10,9.719,1,1,2,1,17,20200104,2,2,315,35,9,BOE-A-2014-3148,N,8557710,lola.rios@universidad.es,14,1,1,0,0,N,N,S,S
20220,19,4,1,6,7,4,135,63,64,5.918,8.214,5.399,7.972,5.201,S,S,0,0,2022,2022-07-14,10.422,1,1,2,3,64,20200327,7,9,402,49,6,BOE-A-2016-7748,N,50905625,alonso.novoa@universidad.es,57,0,0,1,0,N,S,N,N
20170,38,9,23,2,2,4,199,119,133,7.383,12.178,7.697,12.32,7.749,S,S,1,0,2017,2021-09-06,13.132,2,2,1,11,121,20230823,7,1,424,43,7,BOE-A-2019-1657,N,18808678,odalis.cañas@universidad.es,92,1,1,1,1,S,S,S,S
20190,97,5,46,9,3,3,117,41,59,11.897,13.976,5.367,13.585,5.357,S,S,0,0,2019,2021-01-31,10.678,2,2,1,2,50,20220724,1,9,366,21,5,BOE-A-2020-5324,S,61824078,vinicio.román@universidad.es,60,1,0,1,0,N,S,S,N
20240,41,3,5,11,8,6,116,111,174,9.865,5.393,5.334,5.038,5.581,N,N,0,0,2024,2020-11-03,6.64,2,2,1,14,169,20210227,1,10,32,31,6,BOE-A-2019-1290,N,63360324,maría cristina.agudo@universidad.es,18,0,0,1,0,N,S,N,N
20120,32,9,35,5,1,5,22,22,35,6.371,6.111,5.427,5.682,5.461,N,N,1,1,2012,2021-11-20,6.043,2,2,1,2,35,20201128,8,7,314,24,6,BOE-A-2021-8092,N,70980044,elías.mas@universidad.es,44,1,1,0,1,S,N,S,S
20150,9,7,23,2,3,4,143,19,27,11.671,7.73,5.992,7.466,5.942,S,S,1,1,2015,2022-11-16,5.549,2,2,1,0,21,20230422,7,1,164,31,5,BOE-A-2016-4361,N,86688655,angelina.roura@universidad.es,26,1,0,0,0,N,N,S,N
20230,84,2,12,4,6,3,130,15,27,5.049,8.716,5.481,9.019,5.611,S,S,0,1,2023,2023-10-21,9.194,2,2,1,0,17,20230701,3,2,485,42,4,BOE-A-2013-2483,N,50259293,cintia.aparicio@universidad.es,28,0,1,0,1,S,N,N,S
20100,35,7,42,7,1,1,80,18,36,7.368,13.812,7.364,14.022,6.932,S,S,0,1,2010,2021-06-11,13.334,1,1,2,3,36,20220829,8,9,173,38,6,BOE-A-2020-3832,N,42802529,ana belén.polo@universidad.es,98,1,0,1,0,N,S,S,N
20190,34,6,41,14,1,5,118,13,16,6.98,10.806,9.12,10.687,9.596,S,S,0,0,2019,2021-09-01,5.112,2,2,1,1,16,20221108,8,5,325,3,10,BOE-A-2014-6289,N,71394920,lorenza.santamaria@universidad.es,56,1,0,0,0,N,N,S,N
20210,98,7,17,5,5,3,97,84,118,12.739,12.881,10.009,12.791,9.622,N,N,1,0,2021,2023-11-23,11.721,2,2,1,18,110,20200701,3,2,402,7,9,BOE-A-2014-2564,N,90395620,juan.girona@universidad.es,52,0,1,1,1,S,S,N,S
20110,18,6,29,14,1,4,155,52,61,12.76,11.301,5.422,11.277,5.913,S,S,0,0,2011,2023-12-14,9.968,1,1,2,2,56,20221115,5,2,16,45,3,BOE-A-2011-8386,N,80233330,pía.pozo@universidad.es,79,1,1,1,1,S,S,S,S
20210,72,7,43,1,2,4,99,65,117,7.824,8.121,5.439,7.993,5.361,N,N,0,1,2021,2023-05-13,13.48,1,1,2,4,73,20230912,5,2,175,5,7,BOE-A-2018-5790,N,4259382,eutropio.agullo@universidad.es,19,0,0,0,1,S,N,N,N
20160,68,2,39,5,9,1,116,39,60,9.677,5.383,5.244,5.017,5.531,S,S,1,0,2016,2020-06-17,5.332,1,1,2,2,60,20220219,1,3,329,18,5,BOE-A-2011-3958,N,38824283,venceslás.gaya@universidad.es,94,0,0,1,0,N,S,N,N
20200,81,3,25,11,4,1,169,75,129,8.962,9.598,7.869,10.042,8.299,S,S,0,0,2020,2021-04-03,5.586,1,1,2,3,76,20200628,2,8,397,45,4,BOE-A-2011-6097,N,46676884,melania.blazquez@universidad.es,39,0,0,1,0,N,S,N,N
20230,75,8,41,12,1,3,195,156,292,12.999,5.703,5.606,6.136,5.123,N,N,1,0,2023,2020-03-27,13.434,1,1,2,32,286,20210915,8,5,447,47,10,BOE-A-2014-6682,N,94393484,jordana.peinado@universidad.es,81,0,1,0,1,S,N,N,S
20240,66,5,13,2,1,4,155,125,178,7.389,5.041,5.0,4.708,5.333,N,N,0,0,2024,2020-07-06,8.756,1,1,2,17,178,20200225,6,8,150,6,10,BOE-A-2010-2304,S,91634516,ricardo.boada@universidad.es,34,0,1,0,1,S,N,N,S
20220,5,8,16,3,9,1,180,175,339,8.864,9.532,8.763,9.653,8.281,N,N,1,1,2022,2020-03-14,6.278,2,2,1,14,183,20230214,5,8,418,30,10,BOE-A-2014-1376,N,29888974,leandra.gallego@universidad.es,47,1,1,0,1,S,N,S,S
20120,59,8,21,4,10,5,193,33,60,12.108,10.315,5.59,10.094,5.805,S,S,0,0,2012,2021-03-29,9.589,1,1,2,4,36,20220726,1,9,476,17,6,BOE-A-2020-5497,N,56420024,héctor.talavera@universidad.es,27,0,0,1,0,N,S,N,N
20170,52,2,27,14,7,1,29,11,12,12.197,13.374,11.678,13.105,11.73,S,S,1,0,2017,2020-04-09,6.333,2,2,1,1,11,20201108,4,1,60,24,9,BOE-A-2017-3705,N,61824078,vinicio.román@universidad.es,60,1,1,1,1,S,S,S,S
20220,41,2,30,7,8,6,58,41,51,12.112,5.256,5.241,5.1,5.435,S,S,0,0,2022,2021-10-28,11.788,1,1,2,9,46,20211227,2,1,466,42,4,BOE-A-2019-2773,N,20820038,danilo.jáuregui@universidad.es,62,0,0,0,1,S,N,N,N
20240,56,2,14,11,2,1,26,24,38,10.846,10.31,5.882,10.747,5.636,N,N,1,0,2024,2022-07-18,5.482,2,2,1,2,37,20201014,6,2,1,21,4,BOE-A-2013-6336,N,4324134,luis.checa@universidad.es,67,1,0,1,1,S,S,S,N
20230,25,1,1,4,8,2,194,98,159,11.398,5.628,5.04,5.666,5.516,S,S,0,1,2023,2022-07-09,5.304,1,1,2,13,157,20220615,7,9,201,30,4,BOE-A-2011-5762,N,80251151,francisco jose.sotelo@universidad.es,100,0,1,1,0,N,S,N,S
20110,8,1,9,7,7,5,141,91,147,7.324,5.565,5.565,5.415,5.685,N,N,1,1,2011,2022-09-21,10.061,2,2,1,8,95,20230717,5,8,312,20,8,BOE-A-2010-2076,N,86104027,ángel.hervia@universidad.es,24,1,1,0,1,S,N,S,S
20230,22,8,11,6,5,3,58,27,27,6.601,11.612,10.979,11.833,10.615,S,S,1,0,2023,2022-02-10,13.297,1,1,2,0,27,20211123,2,10,435,34,3,BOE-A-2012-5044,N,97883579,reynaldo.pi@universidad.es,25,1,0,1,0,N,S,S,N
20100,73,5,3,2,8,4,44,21,37,6.194,12.364,5.823,12.455,5.75,S,S,0,0,2010,2022-12-15,9.813,2,2,1,4,27,20230814,2,2,423,40,5,BOE-A-2019-4657,S,6533225,rebeca.buendía@universidad.es,82,1,0,0,1,S,N,S,N
20170,35,7,29,10,4,1,144,54,58,10.956,9.354,8.42,9.568,7.976,S,S,1,0,2017,2023-04-22,13.015,2,2,1,5,58,20220928,5,2,356,10,8,BOE-A-2020-8242,N,8087373,luz.ortuño@universidad.es,16,1,1,1,0,N,S,S,S
20130,13,2,6,14,4,3,163,107,167,7.718,13.252,7.577,12.976,7.283,N,N,0,1,2013,2020-12-10,11.743,1,1,2,7,124,20230128,4,3,148,12,10,BOE-A-2013-3380,N,23954324,leoncio.robledo@universidad.es,41,0,1,1,0,N,S,N,S
20160,88,8,20,1,8,2,47,42,72,10.282,12.032,8.433,12.137,7.955,N,N,1,1,2016,2023-06-23,9.107,1,1,2,1,61,20200821,6,4,148,3,9,BOE-A-2015-3656,N,42802529,ana belén.polo@universidad.es,98,1,0,1,0,N,S,S,N
20220,55,2,16,3,1,3,61,20,26,6.461,5.86,5.724,6.096,5.805,S,S,0,0,2022,2020-10-23,9.304,2,2,1,1,23,20230829,5,8,30,16,7,BOE-A-2016-7349,N,80251151,francisco jose.sotelo@universidad.es,100,1,0,0,0,N,N,S,N
20170,76,7,39,8,9,1,145,34,51,8.685,8.663,7.526,8.744,7.067,S,S,0,1,2017,2020-10-26,9.638,1,1,2,2,36,20231101,1,3,195,26,3,BOE-A-2011-6805,N,3051483,vidal.tello@universidad.es,49,1,0,0,0,N,N,S,N
20220,20,8,15,2,7,4,58,45,61,8.666,11.615,10.455,11.615,10.235,N,N,0,0,2022,2023-04-16,9.417,2,2,1,1,49,20200209,8,4,105,37,5,BOE-A-2012-7185,N,90197485,remigio.sans@universidad.es,80,1,1,1,0,N,S,S,S
20200,65,8,31,2,6,5,146,35,44,10.065,11.463,8.641,11.526,8.732,S,S,0,0,2020,2023-02-01,6.986,2,2,1,1,40,20201205,3,8,332,48,10,BOE-A-2011-3189,N,9263592,felisa.barral@universidad.es,17,0,1,1,1,S,S,N,S
20170,63,6,25,11,6,2,74,72,126,10.325,13.44,6.323,13.694,6.638,N,N,1,0,2017,2021-06-22,8.971,1,1,2,2,117,20210822,2,8,311,36,10,BOE-A-2014-3178,N,29161379,olga.carreño@universidad.es,90,0,1,1,1,S,S,N,S
20130,37,1,30,2,7,2,86,71,138,9.435,7.838,5.712,8.308,5.441,N,N,0,0,2013,2022-02-07,5.239,2,2,1,4,110,20220701,2,1,393,26,8,BOE-A-2019-5975,N,71394920,lorenza.santamaria@universidad.es,56,0,1,1,1,S,S,N,S
20100,10,5,34,1,7,5,106,85,131,5.011,8.593,5.781,8.875,5.711,N,N,1,1,2010,2020-03-16,6.734,1,1,2,4,128,20220731,7,10,37,28,1,BOE-A-2012-7870,S,94393484,jordana.peinado@universidad.es,81,0,1,1,0,N,S,N,S
20140,8,7,45,9,4,4,86,55,88,12.206,6.298,5.976,6.269,6.268,N,N,0,0,2014,2022-09-13,5.462,2,2,1,7,85,20231011,4,9,417,39,6,BOE-A-2014-2736,N,98182614,leonel.blasco@universidad.es,96,0,1,1,1,S,S,N,S
20140,93,1,41,9,8,6,187,174,268,8.858,8.733,6.143,8.609,5.891,N,N,1,1,2014,2022-04-13,9.181,1,1,2,17,176,20220524,8,5,140,21,2,BOE-A-2021-2011,N,77324220,elvira.vergara@universidad.es,97,0,0,1,0,N,S,N,N
20190,10,7,4,1,3,6,104,101,155,12.45,8.779,5.508,8.508,5.286,N,N,0,1,2019,2020-05-14,10.259,2,2,1,23,132,20211127,7,3,71,28,3,BOE-A-2020-7258,N,31452485,marcos.guillén@universidad.es,88,0,1,0,1,S,N,N,S
20230,75,4,44,7,9,4,43,20,25,9.321,5.107,5.027,4.915,5.001,S,S,0,0,2023,2023-03-23,8.644,2,2,1,0,25,20210624,7,3,385,31,6,BOE-A-2018-1856,N,72383656,adelardo.mendez@universidad.es,36,0,1,1,0,N,S,N,S
20200,62,2,19,3,8,1,41,21,23,7.851,12.341,6.682,12.176,6.811,S,S,1,1,2020,2022-07-14,10.575,1,1,2,5,21,20201001,3,6,301,6,4,BOE-A-2010-7975,N,4506531,luís.mancebo@universidad.es,77,1,0,0,1,S,N,S,N
20180,71,6,20,2,2,1,27,12,17,6.315,5.809,5.69,5.678,5.984,S,S,1,0,2018,2023-07-10,8.195,1,1,2,2,12,20230917,6,4,367,41,2,BOE-A-2015-3234,N,9263592,felisa.barral@universidad.es,17,0,1,1,0,N,S,N,S
20100,91,5,40,12,6,2,47,42,65,11.237,13.938,12.747,13.924,13.062,N,N,0,0,2010,2023-04-14,8.268,2,2,1,4,51,20230902,4,10,195,22,1,BOE-A-2018-9736,S,7575790,chuy.calatayud@universidad.es,91,0,0,0,0,N,N,N,N
20150,48,5,35,6,10,6,67,64,116,12.434,5.342,5.019,5.253,5.043,N,N,0,0,2015,2021-10-22,11.485,1,1,2,13,86,20211024,8,7,452,29,10,BOE-A-2010-7733,S,52755436,ruy.márquez@universidad.es,43,1,1,0,0,N,N,S,S
20110,25,7,6,6,2,1,86,83,101,11.785,10.576,10.178,11.001,10.457,N,N,1,1,2011,2023-03-23,13.458,1,1,2,11,86,20211022,4,3,463,14,1,BOE-A-2015-6415,N,25297417,zaida.blazquez@universidad.es,64,0,0,1,1,S,S,N,N
20160,40,7,46,10,2,6,115,89,178,11.218,6.081,5.785,6.504,5.314,N,N,0,0,2016,2022-12-04,9.926,1,1,2,12,173,20200404,1,9,145,30,6,BOE-A-2016-3195,N,15145751,rodolfo.rocha@universidad.es,66,1,0,1,1,S,S,S,N
20100,66,8,3,4,4,1,143,132,239,10.307,10.873,10.409,10.819,9.914,N,N,0,0,2010,2023-03-06,8.57,2,2,1,9,217,20220911,2,2,435,18,3,BOE-A-2019-8108,N,96515159,maría pilar.vall@universidad.es,53,1,0,0,0,N,N,S,N
